@relation aggregateResults

@attribute ROWS_COLS {ROWS_ONLY,COLS_ONLY,BOTH}
@attribute FUNCTION {RawDistances,ClusterDiff,Pruning,RawPruning}
@attribute NUM_CONTEXTS numeric
@attribute NUM_CANDIDATES numeric
@attribute DIFFICULTY_TYPE {Averaged,Same,Permutation,Decrement,Increment,[weight],[color],[contents],~[weight],~[color],~[contents],Same:weight,Different:color,DecrementPattern:weight,Same:color,Same:contents,Different:contents,IncrementPattern:weight,'2 patterns','3 patterns','4 patterns','5 patterns','6 patterns','7 patterns'}
@attribute ACCURACY numeric
@attribute STD_DEV numeric

@data
ROWS_ONLY,RawDistances,1,7,Same,0.241117,0.080106
ROWS_ONLY,RawDistances,1,6,Permutation,0.251962,0.069394
ROWS_ONLY,RawDistances,1,5,Decrement,0.31478,0.118346
ROWS_ONLY,RawDistances,1,4,Increment,0.403226,0.147473
ROWS_ONLY,RawDistances,1,3,[weight],0.466414,0.129577
ROWS_ONLY,RawDistances,1,2,[color],0.579729,0.071422
BOTH,ClusterDiff,2,4,Averaged,0.48045,0.136315
BOTH,ClusterDiff,2,3,Same,0.534365,0.146615
BOTH,ClusterDiff,2,2,Permutation,0.695169,0.102745
BOTH,RawDistances,4,3,Averaged,0.57104,0.087151
BOTH,RawDistances,4,2,Same,0.72884,0.087361
ROWS_ONLY,RawPruning,4,2,Averaged,0.71625,0.069911
COLS_ONLY,ClusterDiff,3,4,Averaged,0.51502,0.123061
COLS_ONLY,ClusterDiff,3,3,Same,0.569705,0.131069
COLS_ONLY,ClusterDiff,3,2,Permutation,0.720034,0.089074
ROWS_ONLY,Pruning,5,2,Averaged,0.79942,0.075726
ROWS_ONLY,ClusterDiff,4,4,Averaged,0.56072,0.122681
ROWS_ONLY,ClusterDiff,4,3,Same,0.622987,0.123787
ROWS_ONLY,ClusterDiff,4,2,Permutation,0.752472,0.084923
BOTH,ClusterDiff,3,3,Averaged,0.59434,0.138203
BOTH,ClusterDiff,3,2,Same,0.76174,0.104429
COLS_ONLY,RawPruning,1,4,Averaged,0.335048,0.086454
COLS_ONLY,RawPruning,1,3,Same,0.408774,0.094631
COLS_ONLY,RawPruning,1,2,Permutation,0.559927,0.090529
BOTH,ClusterDiff,4,2,Averaged,0.77913,0.096428
COLS_ONLY,ClusterDiff,4,3,Averaged,0.60194,0.120492
COLS_ONLY,ClusterDiff,4,2,Same,0.772024,0.090762
COLS_ONLY,RawPruning,2,3,Averaged,0.46626,0.088535
COLS_ONLY,RawPruning,2,2,Same,0.627779,0.087824
ROWS_ONLY,RawDistances,6,3,Averaged,0.59332,0.057833
ROWS_ONLY,RawDistances,6,2,Same,0.745219,0.055981
ROWS_ONLY,RawDistances,3,6,Averaged,0.3527,0.08921
ROWS_ONLY,RawDistances,3,5,Same,0.406313,0.097668
ROWS_ONLY,RawDistances,3,4,Permutation,0.441919,0.084673
ROWS_ONLY,RawDistances,3,3,Decrement,0.551818,0.137037
ROWS_ONLY,RawDistances,3,2,Increment,0.783266,0.123572
COLS_ONLY,ClusterDiff,5,2,Averaged,0.78756,0.075107
ROWS_ONLY,Pruning,4,3,Averaged,0.61523,0.124937
ROWS_ONLY,Pruning,4,2,Same,0.782057,0.090355
COLS_ONLY,ClusterDiff,1,6,Averaged,0.263333,0.111491
COLS_ONLY,ClusterDiff,1,5,Same,0.326039,0.120912
COLS_ONLY,ClusterDiff,1,4,Permutation,0.369451,0.100568
COLS_ONLY,ClusterDiff,1,3,Decrement,0.490105,0.192668
COLS_ONLY,ClusterDiff,1,2,Increment,0.643241,0.136405
COLS_ONLY,RawDistances,5,3,Averaged,0.53844,0.079808
COLS_ONLY,RawDistances,5,2,Same,0.699354,0.07387
ROWS_ONLY,RawDistances,4,5,Averaged,0.42531,0.086681
ROWS_ONLY,RawDistances,4,4,Same,0.500077,0.089042
ROWS_ONLY,RawDistances,4,3,Permutation,0.552641,0.073746
ROWS_ONLY,RawDistances,4,2,Decrement,0.6975,0.116096
COLS_ONLY,RawDistances,4,4,Averaged,0.45632,0.089767
COLS_ONLY,RawDistances,4,2,Permutation,0.665497,0.075349
COLS_ONLY,RawDistances,4,3,Same,0.53651,0.093217
ROWS_ONLY,RawDistances,7,2,Averaged,0.74667,0.044911
ROWS_ONLY,ClusterDiff,6,2,Averaged,0.80364,0.068449
COLS_ONLY,RawDistances,2,2,Increment,0.68121,0.121718
COLS_ONLY,RawDistances,2,3,Decrement,0.462565,0.159456
COLS_ONLY,RawDistances,2,4,Permutation,0.378691,0.089805
COLS_ONLY,RawDistances,2,5,Same,0.331991,0.096175
COLS_ONLY,RawDistances,2,6,Averaged,0.27985,0.086198
BOTH,RawDistances,3,2,Permutation,0.684323,0.087799
BOTH,RawDistances,3,3,Same,0.558337,0.102681
BOTH,RawDistances,3,4,Averaged,0.46827,0.107087
ROWS_ONLY,ClusterDiff,2,2,Increment,0.734355,0.143435
ROWS_ONLY,ClusterDiff,2,3,Decrement,0.604221,0.196005
ROWS_ONLY,ClusterDiff,2,4,Permutation,0.444842,0.114226
ROWS_ONLY,ClusterDiff,2,5,Same,0.412549,0.139104
ROWS_ONLY,ClusterDiff,2,6,Averaged,0.34823,0.127031
ROWS_ONLY,RawDistances,5,2,Permutation,0.71342,0.058499
ROWS_ONLY,RawDistances,5,3,Same,0.598249,0.069795
ROWS_ONLY,RawDistances,5,4,Averaged,0.50261,0.074683
BOTH,Pruning,2,2,Same,0.715832,0.108558
BOTH,Pruning,2,3,Averaged,0.52525,0.140214
BOTH,RawPruning,1,2,Same,0.603314,0.104025
