@relation aggregateResults

@attribute ROWS_COLS {ROWS_ONLY,COLS_ONLY,BOTH}
@attribute FUNCTION {RawDistances,ClusterDiff,Pruning}
@attribute NUM_CONTEXTS numeric
@attribute NUM_CANDIDATES numeric
@attribute DIFFICULTY_TYPE {Averaged,Same,Increment,Decrement,Permutation,[contents],[weight],[color],~[contents],~[weight],~[color],Same:contents,IncrementPattern:weight,DecrementPattern:weight,Different:color,Same:color,Same:weight,Different:contents,'2 patterns','3 patterns','4 patterns','5 patterns','6 patterns','7 patterns'}
@attribute ACCURACY numeric
@attribute STD_DEV numeric

@data
COLS_ONLY,RawDistances,3,2,Increment,0.735161,0.103959
COLS_ONLY,Pruning,3,2,Averaged,0.73061,0.082061
ROWS_ONLY,RawDistances,6,2,Averaged,0.6991,0.058105
BOTH,RawDistances,2,4,Averaged,0.41683,0.106518
BOTH,RawDistances,2,3,Same,0.498414,0.108311
BOTH,RawDistances,2,2,Increment,0.755685,0.125753
ROWS_ONLY,RawDistances,2,6,Averaged,0.29867,0.086964
BOTH,Pruning,2,2,Averaged,0.70538,0.099669
ROWS_ONLY,RawDistances,2,2,Permutation,0.624323,0.079308
ROWS_ONLY,RawDistances,2,3,Decrement,0.49513,0.142728
ROWS_ONLY,RawDistances,2,4,Increment,0.493145,0.160451
ROWS_ONLY,RawDistances,2,5,Same,0.347527,0.097316
BOTH,ClusterDiff,3,2,Averaged,0.74598,0.091234
BOTH,ClusterDiff,1,2,Increment,0.671659,0.140057
BOTH,ClusterDiff,1,3,Same,0.436491,0.134627
BOTH,ClusterDiff,1,4,Averaged,0.392,0.119273
COLS_ONLY,RawDistances,5,2,Averaged,0.67095,0.07318
COLS_ONLY,ClusterDiff,4,2,Averaged,0.7472,0.087148
ROWS_ONLY,ClusterDiff,3,2,Increment,0.805242,0.12073
ROWS_ONLY,ClusterDiff,3,3,Same,0.573687,0.118593
ROWS_ONLY,ClusterDiff,3,4,Averaged,0.51091,0.112061
ROWS_ONLY,Pruning,4,2,Averaged,0.7591,0.08299
ROWS_ONLY,ClusterDiff,2,2,Decrement,0.748279,0.142547
ROWS_ONLY,ClusterDiff,2,3,Increment,0.519355,0.187456
ROWS_ONLY,ClusterDiff,2,4,Same,0.476652,0.124958
ROWS_ONLY,ClusterDiff,2,5,Averaged,0.40894,0.126257
COLS_ONLY,RawDistances,2,2,Decrement,0.585617,0.149884
COLS_ONLY,RawDistances,2,3,Increment,0.517218,0.12653
COLS_ONLY,RawDistances,2,4,Same,0.392812,0.101216
COLS_ONLY,RawDistances,2,5,Averaged,0.32352,0.088688
ROWS_ONLY,RawDistances,4,2,Increment,0.780766,0.11859
ROWS_ONLY,RawDistances,4,3,Same,0.536805,0.085736
ROWS_ONLY,RawDistances,4,4,Averaged,0.45087,0.086953
ROWS_ONLY,RawDistances,3,2,Decrement,0.645812,0.140172
ROWS_ONLY,RawDistances,3,3,Increment,0.610282,0.12977
ROWS_ONLY,RawDistances,3,4,Same,0.446575,0.096794
ROWS_ONLY,RawDistances,3,5,Averaged,0.36871,0.090808
COLS_ONLY,RawDistances,1,2,Permutation,0.559067,0.083891
COLS_ONLY,RawDistances,1,3,Decrement,0.412492,0.154262
COLS_ONLY,RawDistances,1,4,Increment,0.366743,0.127118
COLS_ONLY,RawDistances,1,5,Same,0.276336,0.081508
COLS_ONLY,RawDistances,1,6,Averaged,0.24,0.075842
COLS_ONLY,Pruning,2,2,Same,0.702309,0.096251
COLS_ONLY,Pruning,2,3,Averaged,0.49686,0.122588
COLS_ONLY,ClusterDiff,2,2,Increment,0.733024,0.141484
COLS_ONLY,ClusterDiff,2,3,Same,0.506947,0.129536
COLS_ONLY,ClusterDiff,2,4,Averaged,0.45463,0.120179
ROWS_ONLY,Pruning,3,2,Same,0.752527,0.082378
ROWS_ONLY,Pruning,3,3,Averaged,0.56402,0.115349
ROWS_ONLY,RawDistances,5,2,Same,0.709705,0.071659
ROWS_ONLY,RawDistances,5,3,Averaged,0.54988,0.07215
ROWS_ONLY,ClusterDiff,4,2,Same,0.771269,0.086518
ROWS_ONLY,ClusterDiff,4,3,Averaged,0.59646,0.119541
ROWS_ONLY,ClusterDiff,5,2,Averaged,0.78051,0.076288
ROWS_ONLY,Pruning,1,6,Averaged,0.266095,0.10889
ROWS_ONLY,Pruning,1,5,Same,0.329061,0.12007
ROWS_ONLY,Pruning,1,4,Increment,0.389017,0.150331
ROWS_ONLY,Pruning,1,3,Decrement,0.502783,0.196728
ROWS_ONLY,Pruning,1,2,Permutation,0.61937,0.082455
COLS_ONLY,ClusterDiff,1,6,Averaged,0.265714,0.109066
COLS_ONLY,ClusterDiff,1,5,Same,0.329061,0.117739
COLS_ONLY,ClusterDiff,1,4,Increment,0.38172,0.152018
COLS_ONLY,ClusterDiff,1,3,Decrement,0.500928,0.18647
COLS_ONLY,ClusterDiff,1,2,Permutation,0.618295,0.083255
ROWS_ONLY,RawDistances,1,8,Averaged,0.203333,0.071636
ROWS_ONLY,RawDistances,1,7,Same,0.231843,0.081012
ROWS_ONLY,RawDistances,1,6,Increment,0.286866,0.137985
ROWS_ONLY,RawDistances,1,5,Decrement,0.304576,0.12683
ROWS_ONLY,RawDistances,1,4,Permutation,0.341503,0.084589
ROWS_ONLY,RawDistances,1,3,[contents],0.422487,0.092082
ROWS_ONLY,RawDistances,1,2,[weight],0.607222,0.132605
COLS_ONLY,Pruning,1,5,Averaged,0.326,0.109672
COLS_ONLY,Pruning,1,4,Same,0.390226,0.115981
COLS_ONLY,Pruning,1,3,Increment,0.39977,0.173032
COLS_ONLY,Pruning,1,2,Decrement,0.671923,0.145136
ROWS_ONLY,ClusterDiff,1,7,Averaged,0.226762,0.095086
ROWS_ONLY,ClusterDiff,1,6,Same,0.269459,0.117781
ROWS_ONLY,ClusterDiff,1,5,Increment,0.34255,0.183432
ROWS_ONLY,ClusterDiff,1,4,Decrement,0.448052,0.194209
ROWS_ONLY,ClusterDiff,1,3,Permutation,0.40847,0.11195
ROWS_ONLY,ClusterDiff,1,2,[contents],0.622619,0.07817
COLS_ONLY,ClusterDiff,3,4,Averaged,0.51008,0.113989
COLS_ONLY,ClusterDiff,3,3,Same,0.57186,0.118207
COLS_ONLY,ClusterDiff,3,2,Increment,0.790645,0.129429
ROWS_ONLY,RawDistances,7,2,Averaged,0.7174,0.054505
BOTH,RawDistances,1,6,Averaged,0.272095,0.091031
BOTH,RawDistances,1,5,Same,0.307388,0.100938
BOTH,RawDistances,1,4,Increment,0.439708,0.154759
BOTH,RawDistances,1,3,Decrement,0.440012,0.183938
BOTH,RawDistances,1,2,Permutation,0.59153,0.088692
BOTH,Pruning,1,4,Averaged,0.392,0.119273
BOTH,Pruning,1,3,Same,0.436491,0.134627
BOTH,Pruning,1,2,Increment,0.671659,0.140057
COLS_ONLY,RawDistances,4,4,Averaged,0.42826,0.090363
COLS_ONLY,RawDistances,4,3,Same,0.512024,0.096007
COLS_ONLY,RawDistances,4,2,Increment,0.745887,0.097057
ROWS_ONLY,ClusterDiff,6,2,Averaged,0.79582,0.06903
BOTH,RawDistances,4,3,Averaged,0.52879,0.089222
BOTH,RawDistances,4,2,Same,0.691521,0.0919
ROWS_ONLY,Pruning,2,5,Averaged,0.41196,0.125591
ROWS_ONLY,Pruning,2,4,Same,0.479606,0.125853
ROWS_ONLY,Pruning,2,3,Increment,0.518185,0.188539
ROWS_ONLY,Pruning,2,2,Decrement,0.763247,0.135874
COLS_ONLY,Pruning,4,2,Averaged,0.75784,0.084452
BOTH,ClusterDiff,2,4,Averaged,0.48071,0.133557
BOTH,ClusterDiff,2,3,Same,0.53872,0.141955
BOTH,ClusterDiff,2,2,Increment,0.77,0.136011
BOTH,RawDistances,3,4,Averaged,0.45306,0.101851
BOTH,RawDistances,3,3,Same,0.53395,0.101209
BOTH,RawDistances,3,2,Increment,0.79496,0.11337
COLS_ONLY,RawDistances,3,5,Averaged,0.35444,0.086627
COLS_ONLY,RawDistances,3,4,Same,0.430405,0.098867
COLS_ONLY,RawDistances,3,3,Increment,0.565726,0.120057
COLS_ONLY,RawDistances,3,2,Decrement,0.598799,0.143902
COLS_ONLY,RawDistances,6,2,Averaged,0.6737,0.063596
COLS_ONLY,Pruning,3,3,Averaged,0.55978,0.114891
COLS_ONLY,Pruning,3,2,Same,0.751116,0.084408
ROWS_ONLY,RawDistances,6,3,Averaged,0.55603,0.064388
ROWS_ONLY,RawDistances,6,2,Same,0.715405,0.061671
BOTH,RawDistances,2,5,Averaged,0.35362,0.101232
BOTH,RawDistances,2,4,Same,0.431313,0.114104
BOTH,RawDistances,2,3,Increment,0.590685,0.134271
BOTH,RawDistances,2,2,Decrement,0.619058,0.174081
ROWS_ONLY,RawDistances,2,7,Averaged,0.26939,0.083123
ROWS_ONLY,RawDistances,2,6,Same,0.31151,0.094044
BOTH,Pruning,2,3,Averaged,0.52812,0.136591
BOTH,Pruning,2,2,Same,0.723425,0.102136
BOTH,Pruning,3,2,Averaged,0.75619,0.090029
ROWS_ONLY,RawDistances,2,2,[contents],0.634528,0.080217
ROWS_ONLY,RawDistances,2,3,Permutation,0.46544,0.087102
ROWS_ONLY,RawDistances,2,4,Decrement,0.409448,0.141464
ROWS_ONLY,RawDistances,2,5,Increment,0.418468,0.158601
BOTH,ClusterDiff,3,2,Same,0.765919,0.090924
BOTH,ClusterDiff,3,3,Averaged,0.59259,0.126278
BOTH,ClusterDiff,1,2,Decrement,0.684601,0.154834
BOTH,ClusterDiff,1,3,Increment,0.428955,0.180105
BOTH,ClusterDiff,1,4,Same,0.407732,0.125771
BOTH,ClusterDiff,1,5,Averaged,0.341714,0.122498
COLS_ONLY,RawDistances,5,2,Same,0.68593,0.07824
COLS_ONLY,RawDistances,5,3,Averaged,0.52492,0.081502
ROWS_ONLY,Pruning,5,2,Averaged,0.7935,0.075228
COLS_ONLY,ClusterDiff,4,2,Same,0.769322,0.08855
COLS_ONLY,ClusterDiff,4,3,Averaged,0.59591,0.118496
ROWS_ONLY,ClusterDiff,3,2,Decrement,0.795519,0.119463
ROWS_ONLY,ClusterDiff,3,3,Increment,0.599113,0.172907
ROWS_ONLY,ClusterDiff,3,4,Same,0.534781,0.115671
ROWS_ONLY,ClusterDiff,3,5,Averaged,0.46795,0.120092
COLS_ONLY,ClusterDiff,5,2,Averaged,0.77678,0.076501
ROWS_ONLY,Pruning,4,2,Same,0.780088,0.082768
ROWS_ONLY,Pruning,4,3,Averaged,0.60105,0.121678
ROWS_ONLY,ClusterDiff,2,2,Permutation,0.679368,0.087145
ROWS_ONLY,ClusterDiff,2,3,Decrement,0.61224,0.189667
ROWS_ONLY,ClusterDiff,2,4,Increment,0.498871,0.16719
ROWS_ONLY,ClusterDiff,2,5,Same,0.417057,0.133721
ROWS_ONLY,ClusterDiff,2,6,Averaged,0.34954,0.123815
COLS_ONLY,RawDistances,2,2,Permutation,0.603623,0.083037
COLS_ONLY,RawDistances,2,3,Decrement,0.461591,0.157651
COLS_ONLY,RawDistances,2,4,Increment,0.443871,0.13375
COLS_ONLY,RawDistances,2,5,Same,0.331915,0.094823
COLS_ONLY,RawDistances,2,6,Averaged,0.28085,0.085205
BOTH,ClusterDiff,4,2,Averaged,0.76981,0.094089
BOTH,RawDistances,5,2,Averaged,0.70741,0.076829
ROWS_ONLY,RawDistances,4,2,Decrement,0.660974,0.128412
ROWS_ONLY,RawDistances,4,3,Increment,0.638226,0.118038
ROWS_ONLY,RawDistances,4,4,Same,0.468249,0.093758
ROWS_ONLY,RawDistances,4,5,Averaged,0.38954,0.08752
ROWS_ONLY,RawDistances,3,2,Permutation,0.651343,0.07505
ROWS_ONLY,RawDistances,3,3,Decrement,0.520844,0.135466
ROWS_ONLY,RawDistances,3,4,Increment,0.553911,0.156294
ROWS_ONLY,RawDistances,3,5,Same,0.384475,0.097075
ROWS_ONLY,RawDistances,3,6,Averaged,0.33224,0.08686
COLS_ONLY,RawDistances,1,2,[contents],0.562302,0.090423
COLS_ONLY,RawDistances,1,3,Permutation,0.404063,0.084272
COLS_ONLY,RawDistances,1,4,Decrement,0.338899,0.14347
COLS_ONLY,RawDistances,1,5,Increment,0.299155,0.126382
COLS_ONLY,RawDistances,1,6,Same,0.245285,0.079304
COLS_ONLY,RawDistances,1,7,Averaged,0.206667,0.071368
COLS_ONLY,Pruning,2,2,Increment,0.72754,0.14726
COLS_ONLY,Pruning,2,3,Same,0.507921,0.130647
COLS_ONLY,Pruning,2,4,Averaged,0.45696,0.120861
COLS_ONLY,ClusterDiff,2,2,Decrement,0.744578,0.142068
COLS_ONLY,ClusterDiff,2,3,Increment,0.511331,0.189296
COLS_ONLY,ClusterDiff,2,4,Same,0.475055,0.126944
COLS_ONLY,ClusterDiff,2,5,Averaged,0.40718,0.123295
